Designator,Mid X,Mid Y,Layer,Rotation
C1,114.9750mm,58.9500mm,Top,180
C2,112.6000mm,58.7750mm,Top,0
C3,117.7775mm,89.0000mm,Top,180
C4,118.4775mm,93.9000mm,Top,0
C5,123.4775mm,91.4000mm,Top,90
C6,114.3025mm,91.9000mm,Top,270
C7,121.3775mm,91.4000mm,Top,90
C8,126.7500mm,79.6000mm,Top,90
C9,124.3500mm,82.8500mm,Top,180
C10,121.7250mm,57.4750mm,Top,180
C11,122.4400mm,86.5234mm,Top,270
C12,121.1275mm,86.5234mm,Top,270
C13,115.3025mm,54.9750mm,Top,270
C14,116.3275mm,54.7000mm,Top,270
C15,121.2500mm,82.8500mm,Top,180
C16,124.9290mm,73.8750mm,Top,0
C17,118.8250mm,82.8500mm,Top,0
C18,115.3250mm,81.4563mm,Top,90
C19,110.9060mm,55.3668mm,Top,180
C20,118.3000mm,46.7500mm,Top,180
C21,124.7000mm,46.7500mm,Top,180
C22,121.5913mm,58.7163mm,Top,0
C23,126.8525mm,82.9406mm,Top,90
C24,128.2750mm,82.9500mm,Top,90
D1,114.6209mm,41.2099mm,Top,90
D2,120.0775mm,53.8900mm,Top,180
D3,112.4479mm,41.2099mm,Top,90
D4,113.1500mm,80.5750mm,Top,90
D5,110.2750mm,41.2099mm,Top,90
F1,112.3000mm,53.5500mm,Top,180
J1,106.4375mm,50.8500mm,Top,270
L1,126.8525mm,87.8516mm,Top,270
PL1,108.8450mm,82.4400mm,Bottom,90
PL2,125.0050mm,66.1750mm,Top,90
PL3,105.5000mm,41.5500mm,Top,180
R1,114.6250mm,43.8000mm,Top,90
R2,112.4500mm,43.8000mm,Top,90
R3,110.2750mm,43.8000mm,Top,90
R6,113.3025mm,91.9000mm,Top,270
R7,115.3025mm,91.9000mm,Top,90
R9,117.3250mm,58.9500mm,Top,0
R13,119.1750mm,58.9500mm,Top,180
R14,124.2400mm,70.7790mm,Top,0
R20,111.3250mm,47.4750mm,Top,90
R21,110.5000mm,47.4750mm,Top,90
R22,110.9000mm,46.1000mm,Top,180
S1,119.7750mm,41.8000mm,Top,90
S2,126.0750mm,41.8000mm,Top,90
U1,121.1750mm,78.2750mm,Top,270
U2,118.0978mm,91.3910mm,Top,180
U5,112.4750mm,50.4500mm,Top,0
U6,116.5750mm,66.1750mm,Top,90
